split,class,input_filename,output_filename,status
train,real,01__exit_phone_room_frame_0.jpg,01__exit_phone_room_frame_0.jpg,saved
train,real,01__exit_phone_room_frame_1.jpg,01__exit_phone_room_frame_1.jpg,saved
train,real,01__exit_phone_room_frame_2.jpg,01__exit_phone_room_frame_2.jpg,saved
train,real,01__exit_phone_room_frame_3.jpg,01__exit_phone_room_frame_3.jpg,saved
train,real,01__exit_phone_room_frame_4.jpg,01__exit_phone_room_frame_4.jpg,saved
train,real,01__exit_phone_room_frame_5.jpg,01__exit_phone_room_frame_5.jpg,saved
train,real,01__exit_phone_room_frame_6.jpg,01__exit_phone_room_frame_6.jpg,saved
train,real,01__exit_phone_room_frame_7.jpg,01__exit_phone_room_frame_7.jpg,saved
train,real,01__exit_phone_room_frame_8.jpg,01__exit_phone_room_frame_8.jpg,saved
train,real,01__exit_phone_room_frame_9.jpg,01__exit_phone_room_frame_9.jpg,saved
train,real,01__kitchen_pan_frame_0.jpg,01__kitchen_pan_frame_0.jpg,saved
train,real,01__kitchen_pan_frame_1.jpg,01__kitchen_pan_frame_1.jpg,saved
train,real,01__kitchen_pan_frame_2.jpg,01__kitchen_pan_frame_2.jpg,saved
train,real,01__kitchen_pan_frame_3.jpg,01__kitchen_pan_frame_3.jpg,saved
train,real,01__kitchen_pan_frame_4.jpg,01__kitchen_pan_frame_4.jpg,saved
train,real,01__kitchen_pan_frame_5.jpg,01__kitchen_pan_frame_5.jpg,saved
train,real,01__kitchen_pan_frame_6.jpg,01__kitchen_pan_frame_6.jpg,saved
train,real,01__kitchen_pan_frame_7.jpg,01__kitchen_pan_frame_7.jpg,saved
train,real,01__kitchen_pan_frame_8.jpg,01__kitchen_pan_frame_8.jpg,saved
train,real,01__kitchen_pan_frame_9.jpg,01__kitchen_pan_frame_9.jpg,no face detected
train,real,01__kitchen_still_frame_0.jpg,01__kitchen_still_frame_0.jpg,saved
train,real,01__kitchen_still_frame_1.jpg,01__kitchen_still_frame_1.jpg,saved
train,real,01__kitchen_still_frame_2.jpg,01__kitchen_still_frame_2.jpg,saved
train,real,01__kitchen_still_frame_3.jpg,01__kitchen_still_frame_3.jpg,saved
train,real,01__kitchen_still_frame_4.jpg,01__kitchen_still_frame_4.jpg,saved
train,real,01__kitchen_still_frame_5.jpg,01__kitchen_still_frame_5.jpg,saved
train,real,01__kitchen_still_frame_6.jpg,01__kitchen_still_frame_6.jpg,saved
train,real,01__kitchen_still_frame_7.jpg,01__kitchen_still_frame_7.jpg,saved
train,real,01__kitchen_still_frame_8.jpg,01__kitchen_still_frame_8.jpg,saved
train,real,01__kitchen_still_frame_9.jpg,01__kitchen_still_frame_9.jpg,saved
train,real,01__meeting_serious_frame_0.jpg,01__meeting_serious_frame_0.jpg,saved
train,real,01__meeting_serious_frame_1.jpg,01__meeting_serious_frame_1.jpg,saved
train,real,01__meeting_serious_frame_2.jpg,01__meeting_serious_frame_2.jpg,saved
train,real,01__meeting_serious_frame_3.jpg,01__meeting_serious_frame_3.jpg,saved
train,real,01__meeting_serious_frame_4.jpg,01__meeting_serious_frame_4.jpg,saved
train,real,01__meeting_serious_frame_5.jpg,01__meeting_serious_frame_5.jpg,saved
train,real,01__meeting_serious_frame_6.jpg,01__meeting_serious_frame_6.jpg,saved
train,real,01__meeting_serious_frame_7.jpg,01__meeting_serious_frame_7.jpg,saved
train,real,01__meeting_serious_frame_8.jpg,01__meeting_serious_frame_8.jpg,saved
train,real,01__meeting_serious_frame_9.jpg,01__meeting_serious_frame_9.jpg,saved
