split,class,video_id,input_filename,output_stem,status,faces_detected
train,real,01__exit_phone_room,01__exit_phone_room_frame_0.jpg,01__exit_phone_room_frame_0,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_1.jpg,01__exit_phone_room_frame_1,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_2.jpg,01__exit_phone_room_frame_2,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_3.jpg,01__exit_phone_room_frame_3,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_4.jpg,01__exit_phone_room_frame_4,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_5.jpg,01__exit_phone_room_frame_5,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_6.jpg,01__exit_phone_room_frame_6,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_7.jpg,01__exit_phone_room_frame_7,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_8.jpg,01__exit_phone_room_frame_8,saved,1
train,real,01__exit_phone_room,01__exit_phone_room_frame_9.jpg,01__exit_phone_room_frame_9,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_0.jpg,01__kitchen_pan_frame_0,saved,2
train,real,01__kitchen_pan,01__kitchen_pan_frame_1.jpg,01__kitchen_pan_frame_1,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_2.jpg,01__kitchen_pan_frame_2,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_3.jpg,01__kitchen_pan_frame_3,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_4.jpg,01__kitchen_pan_frame_4,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_5.jpg,01__kitchen_pan_frame_5,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_6.jpg,01__kitchen_pan_frame_6,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_7.jpg,01__kitchen_pan_frame_7,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_8.jpg,01__kitchen_pan_frame_8,saved,1
train,real,01__kitchen_pan,01__kitchen_pan_frame_9.jpg,01__kitchen_pan_frame_9,no valid face metadata,0
train,real,01__kitchen_still,01__kitchen_still_frame_0.jpg,01__kitchen_still_frame_0,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_1.jpg,01__kitchen_still_frame_1,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_2.jpg,01__kitchen_still_frame_2,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_3.jpg,01__kitchen_still_frame_3,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_4.jpg,01__kitchen_still_frame_4,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_5.jpg,01__kitchen_still_frame_5,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_6.jpg,01__kitchen_still_frame_6,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_7.jpg,01__kitchen_still_frame_7,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_8.jpg,01__kitchen_still_frame_8,saved,1
train,real,01__kitchen_still,01__kitchen_still_frame_9.jpg,01__kitchen_still_frame_9,saved,1
train,real,01__meeting_serious,01__meeting_serious_frame_0.jpg,01__meeting_serious_frame_0,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_1.jpg,01__meeting_serious_frame_1,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_2.jpg,01__meeting_serious_frame_2,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_3.jpg,01__meeting_serious_frame_3,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_4.jpg,01__meeting_serious_frame_4,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_5.jpg,01__meeting_serious_frame_5,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_6.jpg,01__meeting_serious_frame_6,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_7.jpg,01__meeting_serious_frame_7,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_8.jpg,01__meeting_serious_frame_8,saved,3
train,real,01__meeting_serious,01__meeting_serious_frame_9.jpg,01__meeting_serious_frame_9,saved,3
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_0.jpg,01__outside_talking_pan_laughing_frame_0,no valid face metadata,0
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_1.jpg,01__outside_talking_pan_laughing_frame_1,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_2.jpg,01__outside_talking_pan_laughing_frame_2,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_3.jpg,01__outside_talking_pan_laughing_frame_3,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_4.jpg,01__outside_talking_pan_laughing_frame_4,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_5.jpg,01__outside_talking_pan_laughing_frame_5,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_6.jpg,01__outside_talking_pan_laughing_frame_6,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_7.jpg,01__outside_talking_pan_laughing_frame_7,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_8.jpg,01__outside_talking_pan_laughing_frame_8,saved,1
train,real,01__outside_talking_pan_laughing,01__outside_talking_pan_laughing_frame_9.jpg,01__outside_talking_pan_laughing_frame_9,no valid face metadata,0
train,real,01__talking_against_wall,01__talking_against_wall_frame_0.jpg,01__talking_against_wall_frame_0,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_1.jpg,01__talking_against_wall_frame_1,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_2.jpg,01__talking_against_wall_frame_2,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_3.jpg,01__talking_against_wall_frame_3,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_4.jpg,01__talking_against_wall_frame_4,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_5.jpg,01__talking_against_wall_frame_5,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_6.jpg,01__talking_against_wall_frame_6,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_7.jpg,01__talking_against_wall_frame_7,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_8.jpg,01__talking_against_wall_frame_8,saved,1
train,real,01__talking_against_wall,01__talking_against_wall_frame_9.jpg,01__talking_against_wall_frame_9,saved,1
train,real,01__talking_angry_couch,01__talking_angry_couch_frame_0.jpg,01__talking_angry_couch_frame_0,saved,2
train,real,01__talking_angry_couch,01__talking_angry_couch_frame_1.jpg,01__talking_angry_couch_frame_1,saved,1
train,real,01__talking_angry_couch,01__talking_angry_couch_frame_2.jpg,01__talking_angry_couch_frame_2,saved,1
train,real,01__talking_angry_couch,01__talking_angry_couch_frame_3.jpg,01__talking_angry_couch_frame_3,saved,1
